URL,Lyrics,Chords
https://tabs.ultimate-guitar.com/tab/oasis/dont-look-back-in-anger-chords-6097,"Slip inside the eye of your mind Don't you know you might find better place to play You said that you'd never been But all the things that you've seen Slowly fade away Fm So I start a revolution from my bed Fm 'Cos you said the brains I had went to my head Fm Step outside, summertime's in bloom Stand up beside the fireplace Take that look from off your face You ain't ever gonna burn my heart out And so Sally can wait, she knows it's too late as we're walking on by Her soul slides away, but don't look back in anger I heard you say Take me to the place where you go Where nobody knows, if it's night or day Please don't put your life in the hands of a rock and roll band, who'll throw it all away Fm I'm gonna start a revolution from my bed Fm 'Cos you said the brains I had went to my head Fm Step outside, the summertime's in bloom Stand up beside the fireplace Take that look from off your face 'Cos you ain't ever gonna burn my heart out So Sally can wait, she knows it's too late as she's walking on by My soul slides away, but don't look back in anger I heard you say Fm So Sally can wait, she knows it's too late as we're walking on by Her soul slides away, but don't look back in anger I heard you say So Sally can wait, she knows it's too late as she's walking on by My soul slides away But don't look back in anger Fm Don't look back in anger Fm I heard you say At least not today",C F C F C G Am E7 F G C Am G A C G Am E7 F G C Am G F C F C F C G E7 G Am G F G C G Am E7 F G C Am G C G Am E7 F G C G Am E7 F G C Am G C G Am E7 F G C Am G C G Am E7 F G C Am G F C F C F C G E7 G Am G F G C G Am E7 F G C Am G C G Am E7 F G C Am G F C G E7 G Am G F G G C C G Am E7 F G C Am G C G Am E7 F G C Am G C G Am E7 F G C Am G C G Am F C G Am E7 F C
https://tabs.ultimate-guitar.com/tab/pink-floyd/wish-you-were-here-chords-44555,"So, so you think you can tell, Heaven from Hell, blue skies from pain. Can you tell a green field from a cold steel rail, a smile from a veil, Do you think you can tell? Did they get you to trade your heroes for ghosts, Hot ashes for trees, hot air for a cool breeze, cold comfort for change, And did you exchange a walk on part in the war for a lead role in a cage? We're just two lost souls swimming in a fish bowl, year after year, What have we found? Wish you were here!",Em7 G B G D A E Em7 B G D A E G B G D A E C D F Am E G D F C Am G C D F Am E G D F C Am G Em7 G Em7 G Em7 Em7 G C D F Am E G D F C Am G Em7 G Em7 G Em7 Em7 G
https://tabs.ultimate-guitar.com/tab/goo-goo-dolls/iris-chords-54512,"And I'd give up forever to touch you 'Cause I know that you feel me somehow You're the closest to heaven that I'll ever be And I don't want to go home right now And all I can taste is this moment And all I can breathe is your life And sooner or later it's over I just don't want to miss you tonight And I don't want the world to see me 'Cause I don't think that they'd understand When everything's made to be broken I just want you to know who I am And you can't fight the tears that ain't coming Or the moment of truth in your lies When everything feels like the movies Yeah, you bleed just to know you're alive And I don't want the world to see me 'Cause I don't think that they'd understand When everything's made to be broken I just want you to know who I am And I don't want the world to see me 'Cause I don't think that they'd understand When everything's made to be broken I just want you to know who I am And I don't want the world to see me 'Cause I don't think that they'd understand When everything's made to be broken I just want you to know who I am I just want you to know who I am I just want you to know who I am I just want you to know who I am",A Bm Bm A Bsus2 G F#m Gmaj7 Bm Bsus2 G Gmaj7 G D Em G Bm A G D Em G Bm A G D Em G Bm A G D Em G Bm A G Bm A G Bm A G Bm A G Bm A G Bm Bsus2 G Gmaj7 G D Em G Bm A G D Em G Bm A G Bm A G Bm A G Bm A G Bm A G Bm Bm A D D Bm Bm A G G Bm Bm A D D Bm Bm A G G Bm Bsus2 G G Bm Bsus2 G G Bm Bsus2 G G Bm Bsus2 G F#m G Bm G F#m Bm Bm G F#m Bm Bm Bm Bm A G G Bm Bm A G G Bm Bm A G G Bm Bm A G G Bm A G Bm A G Bm A G Bm A G Bm A G Bm A G Bm A G Bm A G Bm A G Bm A G Bm A Bm Bm Bm A G G Bm Bm A G G Bm Bm A G G Bm Bm A G G
https://tabs.ultimate-guitar.com/tab/coldplay/the-scientist-chords-180849,"Come up to meet you, tell you I'm sorry, you don't know how lovely you are I had to find you, tell you I need you, tell you I'll set you apart Tell me your secrets and ask me your questions, oh, let's go back to the start Running in circles, coming in tails, heads are a science apart  Nobody said it was easy, it's such a shame for us to part Nobody said it was easy, no one ever said it would be this hard Oh, take me back to the start I was just guessing at numbers and fiigures, pulling the puzzles apart Questions of science, science and progress, do not speak as loud as my heart Tell me you love me, come back and haunt me, oh and I rush to the start Running in circles, chasing tails, coming back as we are Nobody said it was easy, oh, it's such a shame for us to part Nobody said it was easy, no one ever said it would be so hard I'm going back to the start",Bm7 G Gadd9 D Dsus2 Bm7 G Gadd9 D Dsus2 Bm7 G Gadd9 D Dsus2 G Gadd9 D Dsus2 G Gadd9 D Daddb6 D6sus2 A A7 D Bm7 G Gadd9 D Dsus2 Bm7 G Gadd9 D Dsus2 Bm7 G Gadd9 D Dsus2 Bm7 G Gadd9 D Dsus2 G Gadd9 D Dsus2 G Gadd9 D Dsus2 A A7 D
https://tabs.ultimate-guitar.com/tab/eagles/hotel-california-chords-46190,"On a dark desert highway, cool wind in my hair Warm smell of colitas rising up through the air Up ahead in the distance, I saw a shimmering light My head grew heavy and my sight grew dim I had to stop for the night There she stood in the doorway; I heard the mission bell And I was thinking to myself This could be heaven or this could be hell Then she lit up a candle, and she showed me the way There were voices down the corridor, Such a lovely place , such a lovely face Plenty of room at the Hotel California Any time of year , you can find it here Her mind is Tiffanytwisted, she got the Mercedes bends She got a lot of pretty pretty boys she calls friends How they danced in the courtyard, sweet summer sweat Some dance to remember, some dance to forget So I called up the captain; Please bring me my wine We haven't had that spirit here since and still those voices are calling from far away Wake you up in the middle of the night Such a lovely place , such a lovely face They're livin' it up at the Hotel California What a nice surprise , bring your alibis Mirrors on the ceiling; the pink champagne on ice We are all just prisoners here, of our own device and in the master's chambers, they gathered for the feast They stab it with their steely knives but they just can't kill the beast Last thing I remember, I was running for the door I had to find the passage back to the place I was before ""Relax"" said the night man; we are programmed to receive You can check out any time you like But you can never leave",Am E7 G D F C Dm E7 Am E7 G D F C Dm E7 Am E7 G D F C Dm E7 F C E7 Am F C Dm E7 Am E7 G D F C Dm E7 Am E7 G D F C Dm E7 F C E7 Am F C Dm E7 Am E7 G D F C Dm E7 Am E7 G D F C Dm E7 Am E7 G D F C Dm E7 Am E7 G D F C Dm E7
https://tabs.ultimate-guitar.com/tab/adele/someone-like-you-chords-1006040,"I heard that you're settled down That you found a girl And you're married now I heard that your dreams came true Guess she gave you things I didn't give to you Old friend why are you so shy It ain't like you to hold back Or hide from the light I hate to turn up out of the blue uninvited but I couldn't stay away I couldn't fight it I'd hoped you'd see my face And that you'd be reminded that for me it isn't over Never mind, I'll find someone like you I wish nothing but the best for you too Don't forget me I beg I remember you said Sometimes it lasts in love but sometimes it hurts instead Sometimes it lasts in love but sometimes it hurts instead, yeah You'd know how the time flies Only yesterday was the time of our lives We were born and raised In a summer haze Bound by the surprise of our glory days I hate to turn up out of the blue uninvited but I couldn't stay away I couldn't fight it I'd hoped you'd see my face And that you'd be reminded that for me it isn't over Never mind, I'll find someone like you I wish nothing but the best for you too Don't forget me I beg I remember you said Sometimes it lasts in love but sometimes it hurts instead, yeah Nothing compares no worries or cares Regrets and mistakes their memories make Who would have known how Bittersweet this would taste Never mind I'll l find someone like you I wish nothing but the best for yoou Don't forget me I beg I remember you said Sometimes it lasts in love but sometimes it hurts instead Never mind I'll l find someone like you I wish nothing but the best for you too Don't forget me I beg I remember you said Sometimes it lasts in love but sometimes it hurts instead Sometimes it lasts in love but sometimes it hurts instead Yeah Yeah",A A/G# F#m D A A/G# F#m D A A/G# F#m D E9 F#m D E9 F#m D E9/D D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A A/G# F#m D A A/G# F#m D E9 F#m D E9 F#m D E9/D D A E F#m D A E F#m D A E F#m D A E F#m D E/B F#m/C# D Bm A/C# D E/D A E/G# F#m D A E/G# F#m D A E F#m D A E/G# F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A
https://tabs.ultimate-guitar.com/tab/taylor-swift/love-story-chords-730809,"We were both young when I first saw you I close my eyes and the flashback starts I'm standing there on a balcony in summer air See the lights, see the party, the ball gowns See you make your way through the crowd And say, ""Hello"" Little did I know That you were Romeo, you were throwing pebbles And my daddy said, ""Stay away from Juliet"" And I was crying on the staircase Begging you please don't go, and I said Romeo, take me somewhere we can be alone I'll be waiting, all there's left to do is run You'll be the prince and I'll be the princess It's a love story, baby, just say ""yes"" So I sneak out to the garden to see you We keep quiet 'cause we're dead if they knew So close your eyes Escape this town for a little while 'Cause you were Romeo, I was a scarlet letter And my daddy said stay away from Juliet But you were everything to me I was begging you please don't go, and I said Romeo, take me somewhere we can be alone I'll be waiting, all there's left to do is run You'll be the prince and I'll be the princess It's a love story, baby, just say yes Romeo, save me, they try to tell me how to feel This love is difficult, but it's real Don't be afraid, we'll make it out of this mess It's a love story, baby, just say yes Ohohh I got tired of waiting, wondering if you were ever coming around My faith in you was fading When I met you on the outskirts of town and I said Romeo, save me I've been feeling so alone I keep waiting for you but you never come Is this in my head, I don't know what to think He knelt to the ground and pulled out a ring and said Marry me, Juliet, you'll never have to be alone I love you, and that's all I really know I talked to your dad, go pick out a white dress It's a love story, baby, just say yes Uh oh, uh oh 'Cause we were both young when I first saw you",C G Am F C F Am F C F Am G F G Am C F G Am F G C G Am F G C C F Am G F G Am C F G Am F G C G Am F G C G Am F G C C G G Am Am F G Am F C G Am F C G C G Am F G D A Bm G A D A Bm G D
https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-chords-39144,"Today is gonna be the day That they're gonna throw it back to you, By now you should've somehow I don't believe that anybody feels the way I do Asus Back beat, the word is on the street That the fire in your heart is out, I'm sure you've heard it all before, I don't believe that anybody feels the way I do And all the roads we have to walk are winding, And all the lights that lead us there are blinding, There are many things that I would like to say to you Because maybe, You're gonna be the one that saves me, And after all, Today was gonna be the day, But they'll never throw it back to you, By now you should have somehow I don't believe that anybody feels the way I do And all the roads that lead you there are winding, And all the lights that light the way are blinding, There are many things that I would like to say to you I said maybe, You're gonna be the one that saves me, And after all, I said maybe, You're gonna be the one that saves me, And after all, I said maybe, You're gonna be the one that saves me, You're gonna be the one that saves me, You're gonna be the one that saves me,",Em7 G Dsus4 A7sus4 Em7 G Dsus4 A7sus4 Em7 G Dsus4 A7sus4 Cadd9 Dsus4 A7sus4 Em7 G Dsus4 A7sus4 Em7 G Dsus4 A7sus4 Em7 G Dsus4 A7sus4 Em7 G Cadd9 Dsus4 Em7 Cadd9 Dsus4 Em7 Cadd9 Dsus4 G G/F# Em7 G A7sus4 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Em7 G Dsus4 A7sus4 Em7 G Dsus4 A7sus4 Em7 G Dsus4 A7sus4 Em7 G Cadd9 Dsus4 Em7 Cadd9 Dsus4 Em7 Cadd9 Dsus4 G G/F# Em7 G A7sus4 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7
https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-chords-27596,Today is gonna be the day That they're gonna throw it back to you By now you should've somehow  Realised what you gotta do I don't believe that anybody Feels the way I do about you now Backbeat the word is on the street That the fire in your heart is out I'm sure you've heard it all before But you never really had a doubt I don't believe that anybody feels The way I do about you now And all the roads we have to walk are winding And all the lights that lead us there are blinding There are many things that I would Like to say to you But I don't know how Because maybe You're gonna be the one that saves me? And after all You're my wonderwall Today was gonna be the day But they'll never throw it back to you By now you should've somehow Realised what you're not to do I don't believe that anybody Feels the way I do About you now And all the roads that lead you there are winding And all the lights that light the way are blinding There are many things that I would like to say to you But I don't know how I said maybe You're gonna be the one that saves me? And after all You're my wonderwall I said maybe You're gonna be the one that saves me? And after all You're my wonderwall I said maybe You're gonna be the one that saves me? You're gonna be the one that saves me? You're gonna be the one that saves me?,Em G D Em G D Em G D Em G D Em G D Em G D Em G D C D Em G D Em G D Em G D Em G D C D Em C D Em C D G D Em D C Em G Em C Em G Em C Em G Em C Em G Em Em G D Em G D Em G D Em G D C D Em C D Em C D G D Em D C Em G Em C Em G Em C Em G Em C Em G Em C Em G Em C Em G Em C Em G Em C Em G Em C Em G Em C Em G Em C Em G Em C Em G Em B G D A E
https://tabs.ultimate-guitar.com/tab/paramore/the-only-exception-chords-874862,"When I was younger I saw my daddy cry and curse at the wind He broke his own heart and I watched as he tried to reassemble it And my mama swore that she would never let herself forget And that was the day that I promised I'd never sing of love if it does not exist, but darling You are the only exception You are the only exception You are the only exception You are the only exception Maybe I know somewhere deep in my soul that love never lasts And we've got to find other ways to make it alone or keep a straight face And I've always lived like this, keeping a comfortable distance And up until now I had sworn to myself that I'm content with loneliness Because none of it was ever worth the risk Well, you are the only exception You are the only exception You are the only exception You are the only exception I've got a tight grip on reality, but I can't Let go of what's in front of me here I know you're leaving in the morning when you wake up Leave me with some kind of proof it's not a dream, whoa You are the only exception You are the only exception You are the only exception You are the only exception You are the only exception You are the only exception You are the only exception You are the only exception Fadd And I'm on my way to believing Fadd Oh, and I'm on my way to believing",G G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 Am Am Am G D Am Am G D Am G D Am G D C G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 C G C G
